Sample_ID,serotype,Country,Continent,Travel_history,Year,Belgium,Source,Gender,gyrA_mutations,macrolide_resistance_genes,MIC_AZM,MIC_CIP
S17BD05944,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,NA,NA,NA,8,0.25
S15BD07413,Sonnei,Belgium,Europe,Georgia,2015,Yes,NRC BEL,Male,NA,NA,0,0
S18BD07247,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Female,NA,NA,16,0.03
S19BD07384,Sonnei,Belgium,Europe,Morocco,2019,Yes,NRC BEL,Female,NA,NA,8,0.02
S18BD07338,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,0.02
S18BD02657,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA D87Y,mphA,64,0.5
S19BD06884,Sonnei,Belgium,Europe,NA,2019,Yes,NRC BEL,Male,gyrA D87Y,mphA,64,0.5
S16BD02574,Sonnei,Belgium,Europe,Thailand,2016,Yes,NRC BEL,Male,gyrA D87Y,NA,0,0
S16BD04069,Sonnei,Belgium,Europe,NA,2016,Yes,NRC BEL,Male,gyrA D87Y,NA,0,0
S17BD08170,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,64,8
S15BD07250,Sonnei,Belgium,Europe,NA,2015,Yes,NRC BEL,Female,NA,NA,0,0
S17BD07935,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,NA,gyrA D87Y,mphA,64,0.5
S17BD00384,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,8,0.02
S19BD06034,Sonnei,Belgium,Europe,NA,2019,Yes,NRC BEL,Male,NA,NA,8,0.02
S17BD08948,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,gyrA D87Y,mphA,64,0.5
S17BD04542,Sonnei,Belgium,Europe,Iran,2017,Yes,NRC BEL,Male,NA,NA,8,0.25
S17BD07399,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,8,0.02
S17BD08233,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.02
S19BD07381,Sonnei,Belgium,Europe,NA,2019,Yes,NRC BEL,Female,NA,NA,8,0.02
S17BD07961,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,8,0.02
S18BD09176,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,0.02
S19BD07393,Sonnei,Belgium,Europe,NA,2019,Yes,NRC BEL,Male,NA,NA,16,0.12
S18BD02580,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,0.02
S17BD02526,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.02
S17BD06833,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,8,0.02
S18BD01024,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Female,gyrA D87Y,mphA,64,0.5
S18BD03411,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Female,gyrA S83L,mphA,64,0.25
S18BD09515,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,0.03
S17BD07332,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.02
S18BD06598,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,0.02
S17BD02164,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.02
S19BD06386,Sonnei,Belgium,Europe,Morocco,2019,Yes,NRC BEL,Female,NA,NA,8,0.02
S19BD06283,Sonnei,Belgium,Europe,France,2019,Yes,NRC BEL,Female,NA,NA,8,0.02
S19BD06285,Sonnei,Belgium,Europe,Turkey,2019,Yes,NRC BEL,Female,NA,NA,2,0.02
S19BD05221,Sonnei,Belgium,Europe,Egypt,2019,Yes,NRC BEL,Female,NA,mphA/ermB,64,0.02
S18BD06749,Sonnei,Belgium,Europe,Tunisia,2018,Yes,NRC BEL,Female,NA,NA,8,0.02
S17BD02088,Sonnei,Belgium,Europe,Congo,2017,Yes,NRC BEL,Male,NA,NA,8,0.02
S17BD07692,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,gyrA D87Y,mphA,64,1
S14BD03573,Sonnei,Belgium,Europe,NA,2014,Yes,NRC BEL,NA,gyrA D87Y,NA,0,0
S17BD01135,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,female,NA,NA,8,0.02
S19BD06689,Sonnei,Belgium,Europe,NA,2019,Yes,NRC BEL,Male,NA,NA,8,0.02
S15BD06969,Sonnei,Belgium,Europe,NA,2015,Yes,NRC BEL,Female,NA,NA,0,0
S18BD01106,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA D87Y,mphA,64,0.5
S17BD00525,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,8,0.02
S19BD07036,Sonnei,Belgium,Europe,NA,2019,Yes,NRC BEL,Male,NA,NA,4,0.02
S18BD06401,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,4
S18BD06486,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,0.02
S17BD06426,Sonnei,Belgium,Europe,Egypt,2017,Yes,NRC BEL,Male,NA,NA,8,0.02
S17BD05916,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,8,0.25
S18BD07708,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Female,NA,NA,8,0.02
S15BD03051,Sonnei,Belgium,Europe,NA,2015,Yes,NRC BEL,NA,NA,NA,0,0
S18BD02468,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA D87Y,mphA,64,0.5
S18BD05904,Sonnei,Belgium,Europe,Egypt,2018,Yes,NRC BEL,Male,NA,NA,16,4
S18BD07677,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Female,NA,NA,8,0.02
S18BD05921,Sonnei,Belgium,Europe,Egypt,2018,Yes,NRC BEL,Male,NA,NA,8,0.25
S17BD06162,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.25
S18BD05317,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Female,NA,NA,8,0.02
S18BD00654,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Female,NA,NA,4,0.02
S19BD06966,Sonnei,Belgium,Europe,Turkey,2019,Yes,NRC BEL,Female,NA,NA,8,0.02
S18BD05398,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA S83L,mphA/ermB,64,0.12
S17BD05208,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.02
S18BD04903,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA S83L,mphA/ermB,64,0.25
S18BD05188,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA S83L,mphA/ermB,64,0.25
S18BD00685,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,64,4
S15BD06648,Sonnei,Belgium,Europe,NA,2015,Yes,NRC BEL,Male,NA,NA,0,0
S15BD06181,Sonnei,Belgium,Europe,NA,2015,Yes,NRC BEL,Male,NA,NA,0,0
S18BD07439,Sonnei,Belgium,Europe,Morocco,2018,Yes,NRC BEL,Female,NA,NA,8,0.02
S18BD03575,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA S83L,mphA/ermB,64,0.25
S18BD06501,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,0.02
