AgeGroup,Sex,WorldStandardPopulation
0-4 years,Male,12000
0-4 years,Female,12000
5-9 years,Male,10000
5-9 years,Female,10000
10-14 years,Male,9000
10-14 years,Female,9000
15-19 years,Male,9000
15-19 years,Female,9000
20-24 years,Male,8000
20-24 years,Female,8000
25-29 years,Male,8000
25-29 years,Female,8000
30-34 years,Male,6000
30-34 years,Female,6000
35-39 years,Male,6000
35-39 years,Female,6000
40-44 years,Male,6000
40-44 years,Female,6000
45-49 years,Male,6000
45-49 years,Female,6000
50-54 years,Male,5000
50-54 years,Female,5000
55-59 years,Male,4000
55-59 years,Female,4000
60-64 years,Male,4000
60-64 years,Female,4000
65-69 years,Male,3000
65-69 years,Female,3000
70-74 years,Male,2000
70-74 years,Female,2000
75-79 years,Male,1000
75-79 years,Female,1000
80-84 years,Male,500
80-84 years,Female,500
85plus years,Male,500
85plus years,Female,500
