ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,Female,Male,Total,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Badjia,SL030101,4440,4630,9070,1201,1418,1084,1117,847,777,555,539,382,310,240,142,144,95,84,51,86
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Bagbo,SL030102,14275,14585,28859,3820,4513,3450,3556,2695,2471,1765,1713,1219,988,762,450,458,300,266,162,274
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Bagbwe(Bagbe),SL030103,11645,11687,23331,3088,3648,2788,2874,2179,1998,1427,1385,984,798,615,363,370,243,215,130,222
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Bo Town,SL030191,93653,100759,194412,25732,30401,23239,23949,18154,16648,11891,11541,8208,6652,5127,3032,3087,2021,1796,1089,1847
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Boama,SL030104,25066,26037,51104,6763,7991,6109,6295,4772,4376,3125,3034,2157,1748,1348,797,812,531,472,287,486
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Bumpe Ngao,SL030105,24214,25154,49369,6535,7720,5901,6082,4610,4228,3019,2930,2084,1689,1302,770,784,513,456,277,469
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Gbo,SL030106,2984,3040,6024,797,942,720,743,563,516,368,358,254,206,158,94,96,62,56,33,57
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Jaiama Bongor,SL030107,16946,17950,34896,4618,5457,4171,4298,3259,2988,2134,2072,1473,1194,920,544,554,362,322,195,331
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Kakua,SL030108,27179,29766,56945,7537,8905,6807,7015,5317,4877,3483,3381,2404,1948,1502,887,904,592,526,319,541
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Komboya,SL030109,8576,8843,17419,2306,2724,2082,2146,1627,1492,1066,1034,736,596,459,272,277,181,161,98,165
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Lugbu,SL030110,13947,14432,28379,3756,4437,3392,3495,2650,2431,1736,1685,1199,971,748,443,450,295,262,159,270
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Niawa Lenga,SL030111,7569,7990,15559,2059,2433,1860,1917,1453,1332,952,923,657,532,410,243,248,162,144,87,148
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Selenga,SL030112,4870,5360,10230,1354,1600,1223,1260,956,876,625,608,431,350,270,159,163,106,95,57,97
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Tikonko,SL030113,29118,30204,59322,7851,9276,7091,7307,5539,5080,3628,3521,2504,2029,1564,925,942,617,549,332,564
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Valunia,SL030114,20266,19379,39645,5247,6199,4739,4883,3702,3395,2425,2354,1674,1357,1046,619,630,413,366,222,377
Sierra Leone,SL,Southern,SL03,Bo,SL0301,Wonde,SL030115,8071,8993,17064,2259,2668,2039,2102,1593,1462,1044,1013,720,584,450,266,271,177,157,96,162
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Biriwa,SL020101,25332,27411,52743,6981,8247,6305,6497,4925,4517,3226,3131,2227,1804,1390,823,837,549,487,295,502
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Bombali Sebora,SL020102,19829,20769,40599,5373,6349,4853,5002,3791,3476,2483,2409,1714,1389,1070,633,644,423,375,227,386
