status,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
Senior,Very Good,Very Good,Good,Very Poor,Not applicable,Not applicable,Very Good,Very Good
Junior,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good
Intermediate,Good,Good,Good,Very Good,Not applicable,Not applicable,Good,Good
Intermediate,Good,Poor,Poor,Very Poor,Not applicable,Not applicable,Good,Good
Senior,Very Good,Very Poor,Good,Poor,Poor,Very Poor,Good,Good
Junior,Good,Very Good,Good,Very Poor,Not applicable,Not applicable,Good,Good
Senior,Very Good,Very Good,Very Good,"","","","",Very Good
Senior,Good,Good,Very Good,Very Good,Poor,Not applicable,Very Good,Very Good
Senior,Good,Very Good,Very Good,Very Poor,Not applicable,Not applicable,Not applicable,Good
Senior,Good,Very Good,Good,Very Poor,Poor,Not applicable,Very Good,Very Good
Senior,Good,Very Good,Very Good,Very Poor,Not applicable,Not applicable,Good,Good
Junior,Good,Very Good,Very Good,Good,Good,Good,Good,Very Good
Senior,Good,Good,Poor,Very Poor,Not applicable,Not applicable,Poor,Good
Junior,Good,Very Good,Good,Very Good,Poor,Poor,Good,Very Good
Senior,Very Good,Very Good,Good,Good,Good,Good,Good,Good
Junior,Good,Good,Good,"","","",Poor,Poor
Intermediate,Poor,Poor,Good,Very Poor,Not applicable,Not applicable,Very Good,Very Good
Intermediate,Very Good,Good,Very Good,Very Poor,Not applicable,Not applicable,Good,Good
Junior,Very Good,Very Good,Very Good,Good,Very Good,Good,Good,Good
Senior,Not applicable,Very Good,Very Good,Poor,Poor,Good,Very Good,Very Good
Senior,Very Good,Very Good,Very Good,Very Poor,Not applicable,Not applicable,Good,Very Good
Junior,Good,Good,Good,Good,Good,Good,Good,Good
Senior,Very Good,Very Good,Very Good,Good,Poor,Poor,Good,Good
Senior,Very Good,Very Good,Good,Very Poor,Not applicable,Good,Good,Good
Junior,Very Good,Very Good,Very Good,Very Poor,Not applicable,Not applicable,Good,Very Good
Intermediate,Very Good,Good,Good,Good,Good,Very Good,Very Good,Poor
Junior,Good,Good,Poor,Good,Good,Very Good,Good,Good
Senior,Good,Poor,Poor,Good,Poor,Good,Poor,Poor
Intermediate,Very Good,Very Good,Very Good,Very Poor,Not applicable,Not applicable,Very Good,Very Good
Senior,Very Good,Very Good,Very Good,Very Poor,Very Poor,Not applicable,Very Good,Very Good
Senior,Not applicable,Not applicable,Not applicable,Very Poor,Not applicable,Not applicable,Not applicable,Not applicable
Junior,Good,Good,Good,Good,Poor,Good,Very Good,Good
Intermediate,Very Good,Very Good,Very Good,Good,Good,Good,Good,Good
Senior,Good,Very Good,Good,Good,Good,Good,Poor,Good
Intermediate,Good,Good,Good,Good,Poor,Good,Good,Good
Junior,Good,Very Good,Good,Very Poor,Not applicable,Not applicable,Poor,Poor
Senior,Not applicable,Good,Good,Good,Poor,Good,Not applicable,Not applicable
Junior,Good,Good,Good,Good,Good,Not applicable,Good,Good
